Id,SalePrice
1461,116071.9599763719
1462,149025.77893404034
1463,188600.62963138078
1464,204139.54534093995
1465,187909.1567925887
1466,177846.18328865786
1467,171146.437512983
1468,169028.73145666654
1469,184773.0855766131
1470,128661.39697293215
1471,178136.03562944586
1472,97568.25328820101
1473,93446.45877862672
1474,149217.0469986102
1475,116808.41253119588
1476,348822.80355280393
1477,249973.94115241783
1478,278312.0797071765
1479,270830.15958793974
1480,499387.3864186034
1481,344861.81400317705
1482,205212.5019394834
1483,171461.3421722275
1484,155407.0870018116
1485,185979.7248904066
1486,194748.53317611886
1487,351503.0677726737
1488,230002.44253563002
1489,198145.19260815292
1490,223838.75141800614
1491,182967.36410117245
1492,93062.52286795893
1493,155615.28874263164
1494,250205.6243853918
1495,295304.02993790485
1496,250600.37125386114
1497,182994.29631682945
1498,161949.27864890988
1499,158615.4860060589
1500,165143.25105020768
1501,169230.18594862166
1502,156111.7957303254
1503,275210.1511058604
1504,238477.595110939
1505,228167.48440973638
1506,197207.30077977313
1507,246621.74382506844
1508,194060.59737401904
1509,169283.0882177899
1510,149240.42116272324
1511,150294.81475334274
1512,173066.27208356786
1513,172748.30526028335
1514,135505.6630667306
1515,215375.09100533248
1516,163016.91397463108
1517,159250.02520897225
1518,115095.57881572854
1519,204506.74480514752
1520,134350.0153185423
1521,135234.41435729247
1522,188857.2133102504
1523,116709.3759701715
1524,132878.57180122274
1525,120733.37977680622
1526,102487.07674080042
1527,107080.85456374491
1528,128297.20739678637
1529,149316.0850576122
1530,210239.8880216549
1531,99718.20381028389
1532,107869.83384257994
1533,163778.2689595402
1534,118116.52961064602
1535,147122.37431103265
1536,97680.12219765285
1537,54039.8768916301
1538,167393.67995076813
1539,212211.67710753746
1540,77583.89117531289
1541,138595.1933544323
1542,130355.25076500763
1543,199571.19304512904
1544,84070.76437984308
1545,116074.78211479716
1546,130282.2602683855
1547,119970.14831158513
1548,131120.25704330808
1549,108129.80683147562
1550,133330.9592396986
1551,101820.55400559581
1552,125770.47035298821
1553,159497.64064770975
1554,126067.00697385267
1555,149564.45368784704
1556,91245.61013175949
1557,102252.62675944195
1558,106866.66676429099
1559,84596.04086375592
1560,133066.82494029062
1561,135361.76111004924
1562,126429.44814441787
1563,122142.6584847084
1564,153761.32224548046
1565,142872.9013402325
1566,172961.289811469
1567,76920.82870243682
1568,215730.56478428372
1569,131586.60305375126
1570,122143.26963251231
1571,111425.23966385507
1572,157515.77238449675
1573,221227.76547740673
1574,110315.0888059553
1575,243383.43418304023
1576,268548.40467734414
1577,185139.00336337162
1578,153293.81930948567
1579,136039.5701193445
1580,190338.19262961604
1581,139735.0002954508
1582,126643.77609232471
1583,323703.64761195134
1584,219349.77132940633
1585,140593.41622919426
1586,80583.82979872846
1587,111433.67045558665
1588,149132.27837337102
1589,103879.10607952006
1590,135234.43917400262
1591,95712.90048920318
1592,123432.27537415906
1593,135307.7956423136
1594,203195.83465407576
1595,105778.5700554439
1596,195033.79380173946
1597,182524.44970216823
1598,194029.0880899754
1599,176980.92182813588
1600,148673.89501490668
1601,63213.97582831945
1602,128016.70821147687
1603,72785.29477441
1604,278636.302816176
1605,234167.50522179954
1606,163015.7660511413
1607,149643.27578427747
1608,216045.67106110204
1609,180994.90815598145
1610,154326.32928965334
1611,122140.30450557912
1612,155714.5178117961
1613,150233.3658204551
1614,117406.76820069812
1615,86850.01409642519
1616,73893.92433779567
1617,87252.22553946891
1618,121579.37371388488
1619,137968.3503202944
1620,141159.62748063696
1621,132981.5009929839
1622,146796.19567522145
1623,302972.94762051816
1624,196206.2298552437
1625,110258.06809231153
1626,164403.43580550494
1627,190676.4648833829
1628,284869.376806426
1629,191958.87983848935
1630,381167.2430923224
1631,220768.49285036017
1632,234849.01579523392
1633,179436.40044404645
1634,191181.5788214903
1635,173296.4011889381
1636,149445.30447502775
1637,220686.96771809336
1638,190790.59072409023
1639,190465.13124309957
1640,250646.0486943722
1641,184351.75967396217
1642,245515.54244081397
1643,224377.40273799436
1644,239521.8804297393
1645,205817.2772423691
1646,168146.27107063873
1647,157639.49532053122
1648,131522.62598904618
1649,133361.94671563778
1650,116913.01152048248
1651,118468.13466946753
1652,100806.27517888177
1653,101119.46558420174
1654,151891.11517437125
1655,146217.14016977733
1656,141647.70900490988
1657,147524.3456978177
1658,144616.66209778938
1659,128283.11247672817
1660,163087.56801835046
1661,417313.79754898953
1662,398020.8585931128
1663,361179.33902150975
1664,470469.6083619898
1665,294306.8484586919
1666,291303.0514058876
1667,395705.7733943208
1668,321177.17434792686
1669,319837.4659909002
1670,344048.9282470862
1671,246065.79845115574
1672,441787.9886820124
1673,282952.15772591234
1674,251135.84230094176
1675,177443.6850953207
1676,197141.1688475132
1677,210732.66684500274
1678,529286.1246301195
1679,413086.45754731674
1680,333864.9707230715
1681,244782.58904360028
1682,293084.6060165551
1683,181938.74025350876
1684,170276.08280288905
1685,171942.09830189258
1686,162970.92925798567
1687,175436.94750761113
1688,189328.1090330914
1689,199408.77410064085
1690,201180.56032945513
1691,185786.4457274935
1692,254862.5921051896
1693,163471.60074806772
1694,185258.60708240414
1695,176270.2002950812
1696,282284.3208394757
1697,181551.9148303442
1698,345511.3565982383
1699,360898.0666757341
1700,262764.13489001413
1701,260259.78420515254
1702,220222.80968173975
1703,233359.19133876794
1704,278994.1278582764
1705,239763.08430079528
1706,399068.61418644513
1707,211607.0062986025
1708,206185.33801343123
1709,249774.33751919388
1710,219935.24309775067
1711,267329.8665277976
1712,269681.82906643266
1713,286287.106189022
1714,228176.82540866907
1715,204551.66528549223
1716,186619.8133763724
1717,171467.7952347725
1718,130730.900859665
1719,190624.2089304137
1720,239871.49616652977
1721,176760.62701613968
1722,130092.51506538273
1723,150126.33342575302
1724,200494.5290351251
1725,226169.85389906954
1726,185789.14095113508
1727,150293.95803021523
1728,167274.35266860793
1729,159362.42572043702
1730,139644.85719117918
1731,122673.59043883362
1732,124955.24394067527
1733,111743.69271652296
1734,110943.86432466096
1735,128245.89679987115
1736,116468.2964261796
1737,331384.6413288304
1738,218496.89447054057
1739,294011.6231583272
1740,202458.35256720765
1741,190490.58029022394
1742,167753.6502881093
1743,173799.84363630536
1744,381118.3496575644
1745,252135.92832634275
1746,241919.34795442614
1747,209390.12853364955
1748,243943.3537286116
1749,138655.25668196913
1750,128506.39847623034
1751,229718.85956766707
1752,128892.74821186317
